record_id,timestamp,charge_point_id,user_id,session_token,session_start_ip,current_request_ip,ip_change_count,concurrent_sessions,session_duration_seconds,device_type,user_agent,failed_auth_attempts,geo_location_match,token_age_seconds,is_token_expired,session_fixation_detected,cookie_secure_flag,same_device_fingerprint,request_frequency_per_minute,anomaly_type,label
20,2025-08-30 04:22:43,CP-0011,USER-00002,e506b7ea4edfcf44d057a44a523f9d10,10.0.0.69,10.0.0.69,0,1,4318,mobile_app,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,513,0,0,1,1,2.674330916805808,none,0
21,2025-11-15 10:50:33,CP-0050,USER-00076,8dcb4b97feb6dae27d1f0ed1efe3d72e,192.168.1.196,192.168.1.196,0,2,2315,mobile_app,OCPP-Client/1.6.0,0,1,3163,0,0,1,1,1.8529857653975736,none,0
22,2025-09-26 01:58:57,CP-0029,USER-00096,b4a5028a55c583f66e137ebb3b1d5dbf,10.0.0.105,23.129.64.113,0,1,115540,api_client,Unknown-Browser/1.0,0,1,1108,0,0,0,0,3.8053064601263595,cookie_hijacking,1
23,2025-04-17 11:27:10,CP-0030,USER-00151,e43e8091332866710653e32a879c49b4,172.16.0.66,172.16.0.66,0,2,3997,mobile_app,ChargingStation-Monitor/2.0,0,1,681,0,0,1,1,1.9805904129721008,none,0
24,2025-04-04 13:50:04,CP-0031,USER-00189,1c8042716fac9b3fbe99e5b9ad8f8853,172.16.0.51,185.220.100.28,10,1,244502,iot_device,OCPP-Client/1.6.0,0,0,313,0,0,1,1,3.1778725528235374,ip_mismatch,1
25,2025-04-22 13:32:15,CP-0025,USER-00035,d73255c0a13f22f2abf7f78d5e7118bf,172.16.0.184,45.95.168.113,3,1,513232,ocpp_client,ChargingStation-Monitor/2.0,2,0,2246,0,0,1,0,3.0913187388317067,stolen_token,1
26,2025-10-11 12:30:25,CP-0002,USER-00063,d1eb7588be8edb0ce6a67d76d6f92ec5,172.16.0.245,172.16.0.245,0,2,3822,mobile_app,ChargingStation-Monitor/2.0,1,1,2655,0,0,1,1,4.820412404569999,none,0
27,2025-03-12 21:39:00,CP-0006,USER-00173,05577eadd5ba2526a993eca2dbc07d6d,192.168.1.54,192.168.1.54,0,1,1433,mobile_app,EVCharge-App/3.2.1 (iOS),0,1,2287,0,0,1,1,4.918866332791781,none,0
28,2025-05-25 07:14:16,CP-0007,USER-00003,6f9a5e001fe472f151fe2e86f1047aa2,172.16.0.158,172.16.0.158,0,1,4,iot_device,OCPP-Client/1.6.0,2,1,335919,1,0,1,1,2.8949988353390737,session_replay,1
29,2025-09-14 19:07:33,CP-0018,USER-00058,c5c6bd8b573d931e2ddea79c206417e1,10.0.0.58,10.0.0.58,0,1,2876,web_browser,EVCharge-App/3.2.1 (iOS),0,1,2080,0,0,1,1,3.0409961699520736,none,0
30,2025-02-21 23:27:24,CP-0019,USER-00124,2ec5da7eabdbaabb71b17aa2ca650d7f,172.16.0.234,172.16.0.234,0,1,2944,web_browser,EVCharge-App/3.2.1 (iOS),1,1,3118,0,0,1,1,4.786335691930883,none,0
31,2025-04-17 07:48:49,CP-0030,USER-00099,9e4283adbb8c54f1bdf5032be9cbf43c,172.16.0.229,172.16.0.229,0,1,3127,web_browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,375,0,0,1,1,0.7065126440703551,none,0
32,2025-09-11 14:16:28,CP-0021,USER-00141,417c4bf87c025d5fc8628aa5ae16a0ef,10.0.0.231,10.0.0.231,0,2,3384,api_client,OCPP-Client/1.6.0,0,1,1630,0,0,1,1,4.435958751303383,none,0
33,2025-05-09 06:31:54,CP-0012,USER-00085,ea3f71d6ad8e752885c2bb31fe851184,172.16.0.202,185.220.100.20,4,1,5,ocpp_client,ChargingStation-Monitor/2.0,0,0,1641,0,0,1,0,1.9487376291440386,stolen_token,1
34,2025-10-20 16:46:48,CP-0001,USER-00109,5eb7b8e89faab2d7aa7a726d189698e2,10.0.0.207,10.0.0.207,0,1,5,web_browser,ChargingStation-Monitor/2.0,5,1,206694,1,0,1,1,2.557404910450649,session_replay,1
35,2025-06-08 07:24:38,CP-0048,USER-00135,07a4d089dc86dbd999f1f6b89c7f142f,10.0.0.244,91.121.84.97,0,1,449335,mobile_app,Unknown-Browser/1.0,0,1,2607,0,0,0,0,3.125186291388143,cookie_hijacking,1
36,2025-03-28 02:05:58,CP-0030,USER-00004,390f2ec006e899c8fefe0f1e0ac66292,10.0.0.114,10.0.0.114,0,18,134986,iot_device,OCPP-Client/1.6.0,0,1,1772,0,0,1,1,62.463742621534834,concurrent_sessions,1
37,2025-02-11 20:31:57,CP-0037,USER-00042,5be9d044695fa9a62c0a17bd799d0ac1,172.16.0.65,172.16.0.65,0,1,4845,api_client,ChargingStation-Monitor/2.0,1,1,2407,0,0,1,1,2.7914784698318407,none,0
38,2025-05-07 02:49:50,CP-0009,USER-00132,0de4724c9d0e7efac421417ef613230d,10.0.0.172,10.0.0.172,0,2,6700,mobile_app,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,2424,0,0,1,1,1.3645299155951442,none,0
39,2025-11-11 22:03:27,CP-0010,USER-00151,66179b598b6358a9da724a6daa8058c7,192.168.1.185,91.121.84.216,5,1,5,iot_device,EVCharge-App/3.2.1 (Android),2,0,2846,0,0,1,0,1.0575257229678794,stolen_token,1
40,2025-06-20 06:35:04,CP-0038,USER-00156,6561a5341bbacb40e5ad43fde496a82f,172.16.0.98,172.16.0.98,0,2,5695,api_client,EVCharge-App/3.2.1 (iOS),1,1,1113,0,0,1,1,2.392844879296238,none,0
41,2025-04-18 07:29:32,CP-0046,USER-00074,d19052e2ddbbb6f42b76d637b3df3ce6,172.16.0.13,172.16.0.13,0,2,6764,api_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,1946,0,0,1,1,1.4267311779912477,none,0
42,2025-04-17 15:20:38,CP-0005,USER-00120,a36ddd50b5b759022b909a25ee281e0f,172.16.0.60,172.16.0.60,0,1,6019,api_client,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),1,1,1465,0,0,1,1,4.479677425391845,none,0
43,2025-09-11 14:26:39,CP-0030,USER-00200,d23f0652f3ca948d635f04d7878311d9,10.0.0.75,10.0.0.75,0,1,469761,ocpp_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,0,3434,0,0,1,0,3.5758682752726765,cross_device_theft,1
44,2025-01-06 13:33:18,CP-0033,USER-00044,c782eb378cdb4b8ec2bd45c959541de4,172.16.0.157,172.16.0.157,0,1,1183,ocpp_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,1369,0,0,1,1,3.199596053211568,none,0
45,2025-09-29 06:05:24,CP-0046,USER-00111,c14cdceabfd6444a7de1b76d8cac3e1b,10.0.0.211,10.0.0.211,0,1,6694,iot_device,EVCharge-App/3.2.1 (Android),0,1,3141,0,0,1,1,4.382733604585248,none,0
46,2025-08-06 21:20:35,CP-0011,USER-00147,dd77c0114100171fd3aefd5a98c67064,172.16.0.248,23.129.64.253,5,1,7,iot_device,ChargingStation-Monitor/2.0,1,0,1890,0,0,1,0,3.8319848949180177,stolen_token,1
47,2025-09-05 06:37:17,CP-0022,USER-00141,ca41195d69549acff43bd4808f77adb8,192.168.1.5,192.168.1.5,0,1,178166,web_browser,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),2,1,459979,1,0,1,1,1.4012982483824352,session_replay,1
48,2025-12-08 01:01:03,CP-0004,USER-00197,9e1baa34ea9d9129b54179c793c18b02,172.16.0.92,172.16.0.92,0,2,1197,api_client,ChargingStation-Monitor/2.0,0,1,1130,0,0,1,1,4.039422176071797,none,0
49,2025-10-07 06:27:00,CP-0037,USER-00056,559089ba0e838544fd099085c9375941,172.16.0.55,172.16.0.55,0,1,6140,mobile_app,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,592,0,0,1,1,2.8453686436659593,none,0
50,2025-11-30 14:17:49,CP-0007,USER-00147,1002d63915579fda968c3c42eceb09b8,10.0.0.64,10.0.0.64,0,2,6563,ocpp_client,OCPP-Client/1.6.0,0,1,759,0,0,1,1,2.950315582759501,none,0
51,2025-12-27 11:52:08,CP-0038,USER-00119,30453b8de675d285476f90faccd4eff1,10.0.0.251,185.220.100.65,0,1,6,iot_device,Unknown-Browser/1.0,0,1,2619,0,0,0,0,4.73393678673616,cookie_hijacking,1
52,2025-03-11 15:13:31,CP-0011,USER-00132,c955a3b8c4321762ee0ff23e03261319,172.16.0.112,172.16.0.112,0,1,443,web_browser,EVCharge-App/3.2.1 (iOS),0,1,1378,0,0,1,1,0.8831904211063172,none,0
53,2025-04-04 17:22:00,CP-0017,USER-00054,898450e1b28eaa6807990eca0811b99e,192.168.1.82,91.121.84.186,3,1,131285,iot_device,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,2,0,1403,0,0,1,0,1.7858724162032107,stolen_token,1
54,2025-03-07 21:03:27,CP-0013,USER-00041,d97cfebdda75e4ab6c324312f0a8cb77,10.0.0.194,10.0.0.194,0,2,1131,api_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1,1,1384,0,0,1,1,4.449228018968872,none,0
55,2025-05-15 11:58:23,CP-0046,USER-00181,cd8265dcdd08d306f7d1bfdc4cd7f358,10.0.0.19,10.0.0.19,0,2,3738,mobile_app,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,707,0,0,1,1,4.338332634965373,none,0
56,2025-09-16 06:34:53,CP-0029,USER-00037,5a8b954e26f9a1c28b645ed690ffaf63,192.168.1.224,192.168.1.224,0,2,2887,api_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,323,0,0,1,1,2.884584414018243,none,0
57,2025-11-03 11:32:27,CP-0024,USER-00044,92e1c40280cdfe502335faa9582f0c6c,10.0.0.39,10.0.0.39,0,2,399,web_browser,EVCharge-App/3.2.1 (iOS),0,1,2845,0,0,1,1,0.8399790191048704,none,0
58,2025-04-16 21:58:15,CP-0011,USER-00076,69c8ba7eacabda4d394cacf8dbd0d1c6,10.0.0.164,10.0.0.164,0,1,6077,mobile_app,OCPP-Client/1.6.0,1,1,1987,0,0,1,1,3.7439900191061124,none,0
59,2025-04-11 22:19:58,CP-0044,USER-00101,5da4dbae7eb3a0a8f4675b20ddb70f00,10.0.0.24,10.0.0.24,0,1,9,api_client,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),5,1,321776,1,0,1,1,1.5612336086120147,session_replay,1
60,2025-05-16 23:49:59,CP-0019,USER-00013,6633d6b69cf37af061d39a00fbceaaf3,192.168.1.149,192.168.1.149,0,2,3106,web_browser,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,718,0,0,1,1,2.829483378692137,none,0
61,2025-05-01 00:14:51,CP-0014,USER-00090,15880af53acdb80276ee45160b97c01b,192.168.1.236,192.168.1.236,0,2,1942,mobile_app,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1,1,1610,0,0,1,1,1.4644397348379186,none,0
62,2025-07-11 22:11:39,CP-0014,USER-00064,a9b9b9d4e4c65752de0ac4aa509819ce,192.168.1.247,192.168.1.247,0,2,2958,iot_device,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,3382,0,0,1,1,3.2840570825805298,none,0
63,2025-01-22 00:11:11,CP-0025,USER-00019,831e07549d14e3dd552678780060a89a,10.0.0.204,91.121.84.108,4,1,566725,web_browser,ChargingStation-Monitor/2.0,1,0,1811,0,0,1,0,3.7449218219844345,stolen_token,1
64,2025-07-21 16:37:08,CP-0003,USER-00094,375eb16755965d00ec520e4d1a75cc1c,10.0.0.13,10.0.0.13,0,1,5023,mobile_app,OCPP-Client/1.6.0,1,1,3040,0,0,1,1,4.095402217712594,none,0
65,2025-08-24 09:41:39,CP-0003,USER-00081,3505cb75da096c6139ee16c9ee475b61,172.16.0.133,172.16.0.133,0,1,4,ocpp_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),5,1,152800,1,0,1,1,0.8755190753520834,session_replay,1
66,2025-02-07 08:59:24,CP-0028,USER-00038,f5ae28a16328b55cad0ff5851e5d508f,10.0.0.133,10.0.0.133,0,1,499369,mobile_app,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,0,3111,0,0,1,0,2.230277106880451,cross_device_theft,1
67,2025-05-03 21:33:35,CP-0029,USER-00134,2997e4cd2f00138f1e6d614f94405921,172.16.0.66,172.16.0.66,0,1,3,web_browser,EVCharge-App/3.2.1 (Android),0,1,35461,0,1,1,1,4.741730286423019,session_fixation,1
68,2025-07-08 22:04:32,CP-0042,USER-00186,bab8382260618ddd323c010e287efcca,10.0.0.19,45.95.168.37,6,1,3,api_client,EVCharge-App/3.2.1 (iOS),0,0,2613,0,0,1,1,3.8922513093914213,ip_mismatch,1
69,2025-05-23 14:58:19,CP-0029,USER-00135,889ec1f252b45a612cdfd201eb9913eb,192.168.1.168,185.220.100.254,1,1,146303,mobile_app,ChargingStation-Monitor/2.0,0,0,201,0,0,1,1,1.151440960459022,geo_location_anomaly,1
70,2025-05-24 19:20:00,CP-0041,USER-00012,6c253fce1d0136b6d6c2f70f5b8cb2b7,10.0.0.240,10.0.0.240,0,1,7124,api_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,208,0,0,1,1,4.190051708597837,none,0
71,2025-12-21 12:06:45,CP-0023,USER-00120,2997e4cd2f00138f1e6d614f94405921,192.168.1.248,192.168.1.248,0,1,2,mobile_app,ChargingStation-Monitor/2.0,0,1,8030,0,1,1,1,1.5517898012643472,session_fixation,1
72,2025-01-14 05:36:13,CP-0029,USER-00183,15c4b5875a54963da6dcf051cf65231e,192.168.1.157,192.168.1.157,0,2,2207,iot_device,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,3213,0,0,1,1,1.0708999586811052,none,0
73,2025-06-08 12:25:32,CP-0038,USER-00124,b1447f4a67e445cae8055130215b273c,10.0.0.128,10.0.0.128,0,2,1365,iot_device,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,1398,0,0,1,1,3.9816498010838246,none,0
74,2025-10-04 16:12:08,CP-0048,USER-00153,413845caf24ea3b604d55b6cbb0cdad5,192.168.1.172,192.168.1.172,0,1,7184,web_browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,1329,0,0,1,1,2.4586763328210415,none,0
75,2025-03-13 07:06:14,CP-0040,USER-00142,d85b829c0047f5bc394ad35af3d84c7b,10.0.0.117,10.0.0.117,0,1,4011,api_client,EVCharge-App/3.2.1 (Android),0,1,1475,0,0,1,1,4.540986606081415,none,0
76,2025-06-19 03:59:53,CP-0046,USER-00067,0365097003896d0800f8cb5e9f125ef2,10.0.0.80,10.0.0.80,0,2,5784,iot_device,ChargingStation-Monitor/2.0,1,1,931,0,0,1,1,3.7733674126065617,none,0
77,2025-07-16 14:42:02,CP-0022,USER-00196,8be979b0c3868db07f590855674fff39,192.168.1.95,192.168.1.95,0,1,6731,ocpp_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,1736,0,0,1,1,2.5038082483822737,none,0
78,2025-06-14 01:52:39,CP-0007,USER-00066,8198e7e08275d14e0cb6de0a6a31a66d,10.0.0.101,10.0.0.101,0,2,748,mobile_app,EVCharge-App/3.2.1 (iOS),1,1,1716,0,0,1,1,4.89772846859217,none,0
79,2025-07-25 09:55:29,CP-0019,USER-00024,8a42563cc8a546dd13a2a36dc06598dd,10.0.0.248,10.0.0.248,0,1,3262,web_browser,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,3458,0,0,1,1,3.599171116550243,none,0
80,2025-08-19 02:52:43,CP-0038,USER-00046,18e7ca81a4741f82bed38722cbf991f0,192.168.1.233,192.168.1.233,0,2,5683,web_browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,2836,0,0,1,1,3.9136563053422746,none,0
81,2025-12-24 11:18:35,CP-0029,USER-00114,2997e4cd2f00138f1e6d614f94405921,10.0.0.98,10.0.0.98,0,1,7,iot_device,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,50610,0,1,1,1,4.942240334769156,session_fixation,1
82,2025-03-11 02:00:35,CP-0019,USER-00034,d1a74ebfe09a5010fe5c340af1b1f722,10.0.0.176,10.0.0.176,0,2,2124,iot_device,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,2785,0,0,1,1,4.3212782749973435,none,0
83,2025-01-06 02:10:02,CP-0012,USER-00060,663a6ff7a1d294eb155bb294767b8b1c,192.168.1.115,192.168.1.115,0,1,4270,api_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),0,1,261,0,0,1,1,4.613063432022002,none,0
84,2025-01-31 15:14:21,CP-0045,USER-00198,83fa07f2ce692fa01adbfb33e356b6cb,172.16.0.38,172.16.0.38,0,1,638,ocpp_client,OCPP-Client/1.6.0,1,1,1523,0,0,1,1,1.6215344361824502,none,0
85,2025-08-31 19:30:21,CP-0024,USER-00151,91bbb120628797295656e6ad78bc7b99,10.0.0.82,10.0.0.82,0,2,3621,mobile_app,ChargingStation-Monitor/2.0,0,1,1763,0,0,1,1,4.25514583139219,none,0
86,2025-12-25 15:34:55,CP-0013,USER-00180,2314677517de7d9440f54c1c8a739209,172.16.0.83,172.16.0.83,0,2,1255,web_browser,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,1162,0,0,1,1,2.036677757306898,none,0
87,2025-06-24 04:36:26,CP-0004,USER-00157,2f4f469938d0edbea722a933e7ca7d2e,172.16.0.122,185.220.100.103,6,1,200711,ocpp_client,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,0,1243,0,0,1,0,3.6997151880738537,stolen_token,1
88,2025-07-23 20:04:50,CP-0019,USER-00146,c6661cc9c516908cea4987a23d23b160,172.16.0.186,172.16.0.186,0,1,5156,web_browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1,1,1002,0,0,1,1,0.8488340134198091,none,0
89,2025-06-11 00:37:15,CP-0018,USER-00118,8b9d4a2839d65ec806b516f739629b5f,172.16.0.77,172.16.0.77,0,2,4006,api_client,EVCharge-App/3.2.1 (iOS),0,1,3231,0,0,1,1,3.3235827593337657,none,0
90,2025-01-08 01:07:17,CP-0024,USER-00131,8c9ae922b69343cce262c4c748b8c59c,192.168.1.126,192.168.1.126,0,1,304,ocpp_client,ChargingStation-Monitor/2.0,1,1,1855,0,0,1,1,4.77046112715644,none,0
91,2025-04-22 08:35:25,CP-0017,USER-00104,4b28050492dba488ce17a3cc3d194680,172.16.0.5,172.16.0.5,0,2,4003,iot_device,EVCharge-App/3.2.1 (Android),1,1,378,0,0,1,1,4.722140948243984,none,0
92,2025-02-01 03:52:46,CP-0041,USER-00196,7d9cf7dea79f541c34bbb3fbe47fcd43,192.168.1.144,23.129.64.175,5,1,6,ocpp_client,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,0,3181,0,0,1,0,2.1301788610120647,stolen_token,1
93,2025-02-19 00:34:03,CP-0017,USER-00051,6fd7afe6765b6d840d75a4b4372f5c4f,10.0.0.39,10.0.0.39,0,1,6314,web_browser,Mozilla/5.0 (Android 12; Mobile; rv:100.0),1,1,1273,0,0,1,1,4.380039078472935,none,0
94,2025-12-16 07:24:19,CP-0015,USER-00170,5567c64275b74edcfe9e64641015c01c,10.0.0.227,185.220.100.221,6,1,10,iot_device,EVCharge-App/3.2.1 (Android),2,0,2754,0,0,1,0,1.9069590154303788,stolen_token,1
95,2025-06-26 15:10:19,CP-0042,USER-00150,7cf73fa3537b24a4e4308af7ce19963f,172.16.0.150,172.16.0.150,0,31,159372,mobile_app,ChargingStation-Monitor/2.0,0,1,1457,0,0,1,1,32.024341499494554,concurrent_sessions,1
96,2025-11-09 07:10:31,CP-0025,USER-00086,fefc18e351b80b3f6971374597f4848d,192.168.1.207,192.168.1.207,0,5,8,web_browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0,1,1311,0,0,1,1,97.84520822388296,concurrent_sessions,1
97,2025-08-19 20:14:29,CP-0050,USER-00025,1a82826e058e1372430354db44640dce,172.16.0.195,172.16.0.195,0,1,5466,iot_device,EVCharge-App/3.2.1 (iOS),1,1,1471,0,0,1,1,3.33181944301383,none,0
98,2025-06-28 23:12:44,CP-0011,USER-00151,b16057e824b4d0b32df2a21206656646,172.16.0.235,172.16.0.235,0,1,7021,web_browser,OCPP-Client/1.6.0,1,1,136,0,0,1,1,3.130191164993542,none,0
99,2025-08-04 05:53:11,CP-0038,USER-00193,0aa1447d6d1933701d50b2d5f98b8e95,192.168.1.211,192.168.1.211,0,2,2897,mobile_app,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),0,1,2685,0,0,1,1,2.8219504779563054,none,0
100,2025-12-19 21:26:32,CP-0041,USER-00111,64304f70ef7902a9899d705b7481af92,172.16.0.182,172.16.0.182,0,2,4550,ocpp_client,OCPP-Client/1.6.0,0,1,858,0,0,1,1,3.382970129889533,none,0
101,2025-07-10 19:25:33,CP-0032,USER-00064,669f3fc9848bada3e9235758f8c25e7b,10.0.0.228,10.0.0.228,0,1,159595,mobile_app,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X),5,1,587763,1,0,1,1,2.159170144307629,session_replay,1
102,2025-12-08 20:09:53,CP-0020,USER-00190,83373dfdede1bfd333ff71a6de9b8453,10.0.0.24,10.0.0.24,0,18,10,ocpp_client,ChargingStation-Monitor/2.0,0,1,3015,0,0,1,1,22.09425919561967,concurrent_sessions,1
103,2025-07-28 23:18:50,CP-0049,USER-00112,c72c5b17c53e08b586c25d318f65a03a,172.16.0.46,45.95.168.128,0,1,202946,mobile_app,Unknown-Browser/1.0,0,1,2736,0,0,0,0,4.633668721915677,cookie_hijacking,1
104,2025-02-28 23:16:22,CP-0010,USER-00096,9848e4a020699fb97b13a3e6c2f47068,172.16.0.248,172.16.0.248,0,1,550218,iot_device,Mozilla/5.0 (Android 12; Mobile; rv:100.0),2,1,446637,1,0,1,1,3.6225070877009675,session_replay,1
